den;datum;orp_kod;orp_nazev;incidence_7;incidence_65_7;incidence_75_7;prevalence;prevalence_65;prevalence_75;aktualni_pocet_hospitalizovanych_osob;nove_hosp_7;testy_7
neděle;2020-03-01;2018;Nymburk;0;0;0;0;0;0;;0;
neděle;2020-03-01;6302;Havlíčkův Brod;0;0;0;0;0;0;;0;
neděle;2020-03-01;2019;Poděbrady;0;0;0;0;0;0;;0;
neděle;2020-03-01;6303;Humpolec;0;0;0;0;0;0;;0;
neděle;2020-03-01;2020;Příbram;0;0;0;0;0;0;;0;
neděle;2020-03-01;6304;Chotěboř;0;0;0;0;0;0;;0;
neděle;2020-03-01;2021;Rakovník;0;0;0;0;0;0;;0;
neděle;2020-03-01;6305;Jihlava;0;0;0;0;0;0;;0;
neděle;2020-03-01;2022;Říčany;0;0;0;0;0;0;;0;
neděle;2020-03-01;6306;Moravské Budějovice;0;0;0;0;0;0;;0;
neděle;2020-03-01;2023;Sedlčany;0;0;0;0;0;0;;0;
neděle;2020-03-01;6307;Náměšť nad Oslavou;0;0;0;0;0;0;;0;
neděle;2020-03-01;6308;Nové Město na Moravě;0;0;0;0;0;0;;0;
neděle;2020-03-01;6309;Pacov;0;0;0;0;0;0;;0;
neděle;2020-03-01;6310;Pelhřimov;0;0;0;0;0;0;;0;
neděle;2020-03-01;6311;Světlá nad Sázavou;0;0;0;0;0;0;;0;
neděle;2020-03-01;2024;Slaný;0;0;0;0;0;0;;0;
neděle;2020-03-01;3110;Soběslav;0;0;0;0;0;0;;0;
neděle;2020-03-01;6312;Telč;0;0;0;0;0;0;;0;
neděle;2020-03-01;6313;Třebíč;0;0;0;0;0;0;;0;
neděle;2020-03-01;3111;Strakonice;0;0;0;0;0;0;;0;
neděle;2020-03-01;3112;Tábor;0;0;0;0;0;0;;0;
neděle;2020-03-01;6314;Velké Meziříčí;0;0;0;0;0;0;;0;
neděle;2020-03-01;6315;Žďár nad Sázavou;0;0;0;0;0;0;;0;
neděle;2020-03-01;3113;Trhové Sviny;0;0;0;0;0;0;;0;
neděle;2020-03-01;3114;Třeboň;0;0;0;0;0;0;;0;
neděle;2020-03-01;6401;Blansko;0;0;0;0;0;0;;0;
neděle;2020-03-01;3115;Týn nad Vltavou;0;0;0;0;0;0;;0;
neděle;2020-03-01;6402;Boskovice;0;0;0;0;0;0;;0;
neděle;2020-03-01;6403;Brno;0;0;0;0;0;0;;0;
neděle;2020-03-01;3117;Vodňany;0;0;0;0;0;0;;0;
neděle;2020-03-01;6404;Břeclav;0;0;0;0;0;0;;0;
neděle;2020-03-01;3201;Blovice;0;0;0;0;0;0;;0;
neděle;2020-03-01;3202;Domažlice;0;0;0;0;0;0;;0;
neděle;2020-03-01;3203;Horažďovice;0;0;0;0;0;0;;0;
neděle;2020-03-01;3204;Horšovský Týn;0;0;0;0;0;0;;0;
neděle;2020-03-01;3205;Klatovy;0;0;0;0;0;0;;0;
neděle;2020-03-01;6405;Bučovice;0;0;0;0;0;0;;0;
neděle;2020-03-01;3206;Kralovice;0;0;0;0;0;0;;0;
neděle;2020-03-01;3116;Vimperk;0;0;0;0;0;0;;0;
neděle;2020-03-01;6406;Hodonín;0;0;0;0;0;0;;0;
neděle;2020-03-01;3207;Nepomuk;0;0;0;0;0;0;;0;
neděle;2020-03-01;6407;Hustopeče;0;0;0;0;0;0;;0;
neděle;2020-03-01;3208;Nýřany;0;0;0;0;0;0;;0;
neděle;2020-03-01;6408;Ivančice;0;0;0;0;0;0;;0;
neděle;2020-03-01;3209;Plzeň;0;0;0;0;0;0;;0;
neděle;2020-03-01;3210;Přeštice;0;0;0;0;0;0;;0;
neděle;2020-03-01;3211;Rokycany;0;0;0;0;0;0;;0;
neděle;2020-03-01;3212;Stod;0;0;0;0;0;0;;0;
neděle;2020-03-01;3213;Stříbro;0;0;0;0;0;0;;0;
neděle;2020-03-01;6409;Kuřim;0;0;0;0;0;0;;0;
neděle;2020-03-01;3214;Sušice;0;0;0;0;0;0;;0;
neděle;2020-03-01;3215;Tachov;0;0;0;0;0;0;;0;
neděle;2020-03-01;6410;Kyjov;0;0;0;0;0;0;;0;
neděle;2020-03-01;6411;Mikulov;0;0;0;0;0;0;;0;
neděle;2020-03-01;4101;Aš;0;0;0;0;0;0;;0;
neděle;2020-03-01;6412;Moravský Krumlov;0;0;0;0;0;0;;0;
neděle;2020-03-01;4102;Cheb;0;0;0;0;0;0;;0;
neděle;2020-03-01;6413;Pohořelice;0;0;0;0;0;0;;0;
neděle;2020-03-01;6414;Rosice;0;0;0;0;0;0;;0;
neděle;2020-03-01;4103;Karlovy Vary;0;0;0;0;0;0;;0;
neděle;2020-03-01;4104;Kraslice;0;0;0;0;0;0;;0;
neděle;2020-03-01;6415;Slavkov u Brna;0;0;0;0;0;0;;0;
neděle;2020-03-01;6416;Šlapanice;0;0;0;0;0;0;;0;
neděle;2020-03-01;4105;Mariánské Lázně;0;0;0;0;0;0;;0;
neděle;2020-03-01;4106;Ostrov;0;0;0;0;0;0;;0;
neděle;2020-03-01;6417;Tišnov;0;0;0;0;0;0;;0;
neděle;2020-03-01;4107;Sokolov;0;0;0;0;0;0;;0;
neděle;2020-03-01;6418;Veselí nad Moravou;0;0;0;0;0;0;;0;
neděle;2020-03-01;4201;Bílina;0;0;0;0;0;0;;0;
neděle;2020-03-01;4202;Děčín;1;0;0;1;0;0;;0;
neděle;2020-03-01;6419;Vyškov;0;0;0;0;0;0;;0;
neděle;2020-03-01;6420;Znojmo;0;0;0;0;0;0;;0;
