Okres,Kraj,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11
České Budějovice,Jihočeský kraj,12,13,13,14,14,15,15,17,17,20,20,20,20,20,20,20,23,25,31,37,38,38,39,40,40,40,40,40,40,40,40,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,44,44,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,46,47,48,48,51,52,54,56,59,60,63,64,64,65,65,68,70,73,75,75,78,78
Český Krumlov,Jihočeský kraj,11,14,19,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,25,25,25,25,25,25,26,26,26,26,27,29
Jindřichův Hradec,Jihočeský kraj,0,0,1,1,1,2,2,3,4,7,7,11,11,11,11,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,20,20,21,21,21,21,22,22,22,24,24,24,24,32,32,33,33,33,33,33,34,34,38,40,40,40,40,40,40,41,44,44,44,46,46
Písek,Jihočeský kraj,0,2,2,2,2,2,2,5,6,10,11,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,15,15,15,16,16,16,16,16,19,20,20,20,20,20,21,23,23,23,24,25,27,28,31,31,33,34
Prachatice,Jihočeský kraj,10,10,11,12,12,12,12,14,15,15,15,15,16,16,16,18,20,20,21,22,22,22,22,23,23,23,23,23,24,27,27,28,28,28,28,28,28,28,28,28,28,28,29,32,32,32,32,32,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,36,36,36,37,37,36,36,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,39,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,45,45,45,45,45,45,45,46,46,47,68,70,71,75,81,92,93,93,93,93,97,98,100,101,101,103,104
Strakonice,Jihočeský kraj,15,16,20,23,23,24,25,26,27,31,31,31,31,33,33,34,34,34,34,35,35,35,35,35,35,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,38,37,38,38,38,38,38,38,38,38,38,38,38,40,40,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,43,44,44,44,44,44,45,46,48,50,50,52,52,52,52,53,53,55,55,55,57,59
Tábor,Jihočeský kraj,2,3,3,4,4,6,7,14,14,13,14,14,14,14,14,15,14,14,14,14,14,14,14,14,15,15,15,15,17,17,17,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,27,29,27,29,36,43,49,55,55,56,58,58,59,59,61,61,61,62
Brno-město,Jihomoravský kraj,56,60,68,72,79,84,86,89,96,102,109,111,115,117,121,126,127,129,130,131,133,134,135,137,137,141,141,143,144,148,150,151,151,154,155,157,157,159,159,162,166,166,167,172,175,177,181,186,186,186,189,191,192,192,192,192,193,193,195,195,195,195,197,200,206,209,209,209,209,209,209,209,224,224,224,224,224,224,224,232,232,232,232,232,232,232,244,244,244,244,244,244,244,270,270,270,270,270,270,270,278,278,278,278,278,278,278,289,289,289,289,289,289,289,312,312,312,312,312,312,312,353,353,353,362,362,389,407,416,416,416,435,443,450,464,471,471,471,501,514
Brno-venkov,Jihomoravský kraj,15,16,18,18,20,20,22,24,28,29,30,32,32,32,35,35,35,37,37,37,37,37,39,42,43,43,43,44,45,46,49,50,50,50,50,50,50,50,50,51,51,51,51,51,51,51,51,52,52,53,56,56,56,56,56,56,56,56,56,56,57,57,57,58,58,58,58,58,58,58,58,58,61,61,61,61,61,61,61,67,67,67,67,67,67,67,74,74,74,74,74,74,74,76,76,76,76,76,76,76,79,79,79,79,79,79,79,85,85,85,85,85,85,85,90,90,90,90,90,90,90,95,95,95,96,96,103,105,107,107,107,111,111,113,114,118,118,118,126,127
Blansko,Jihomoravský kraj,5,6,6,6,6,8,6,7,8,8,9,9,11,12,13,12,16,15,15,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,20,24,25,25,26,27,27,27,27,27,27,27,27,27,28,28,28,29,29,30,33,34,34,35,35,35,35,35,35,35,35,35,35,35,35,35,35,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,45,45,45,40,40,40,41,42,42,42,44,46,45,46,49,49,49,50,50
Břeclav,Jihomoravský kraj,15,16,21,22,24,26,28,33,47,50,51,57,62,67,72,77,81,85,86,89,87,92,97,101,101,102,102,104,104,105,108,108,108,110,113,115,115,116,116,116,116,117,117,118,119,120,120,120,120,120,120,120,120,120,121,121,121,121,121,121,122,123,124,124,124,124,124,124,124,124,124,124,127,127,127,127,127,127,127,129,129,129,129,129,129,129,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,132,132,132,132,132,132,132,138,138,138,138,138,138,138,158,158,158,160,160,171,176,179,179,179,181,184,185,188,192,192,192,194,195
Hodonín,Jihomoravský kraj,2,3,5,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,24,24,24,24,24,24,24,31,31,31,33,33,38,38,42,42,42,44,47,50,51,54,54,54,58,68
Vyškov,Jihomoravský kraj,1,1,1,1,1,2,2,3,6,9,11,13,14,14,15,17,17,17,18,18,18,18,18,19,19,19,19,19,21,22,24,25,25,25,25,25,26,26,26,26,26,27,28,28,28,28,28,28,28,28,28,28,29,29,29,32,32,33,33,33,33,33,33,33,33,34,34,34,34,34,34,34,36,36,36,36,36,36,36,36,36,36,36,36,36,36,39,39,39,39,39,39,39,40,40,40,40,40,40,40,41,41,41,41,41,41,41,43,43,43,43,43,43,43,45,45,45,45,45,45,45,51,51,51,52,52,55,56,59,59,59,59,59,61,61,61,61,61,61,63
Znojmo,Jihomoravský kraj,9,11,14,17,19,26,26,29,31,36,41,44,45,45,45,45,47,47,47,47,47,47,48,53,53,54,54,55,58,59,61,63,64,66,66,66,66,66,66,66,66,66,66,66,68,69,69,70,70,70,70,70,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,74,74,74,74,74,74,74,74,74,74,74,74,74,74,77,77,77,77,77,77,77,81,81,81,81,81,81,81,81,81,81,81,81,81,81,82,82,82,82,82,82,82,94,94,94,94,94,94,94,106,106,106,109,109,116,116,122,122,122,123,132,134,134,134,134,134,133,135
