Okres,Kraj,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11
České Budějovice,Jihočeský kraj,23,26,28,28,29,29
Český Krumlov,Jihočeský kraj,3,3,3,3,4,6
Jindřichův Hradec,Jihočeský kraj,21,12,12,12,12,12
Písek,Jihočeský kraj,11,12,15,15,13,14
Prachatice,Jihočeský kraj,52,54,55,55,57,47
Strakonice,Jihočeský kraj,9,11,11,11,13,10
Tábor,Jihočeský kraj,34,32,34,34,33,24
Brno-město,Jihomoravský kraj,140,130,130,130,131,132
Brno-venkov,Jihomoravský kraj,26,28,28,28,35,32
Blansko,Jihomoravský kraj,5,8,8,8,9,9
Břeclav,Jihomoravský kraj,38,42,42,42,29,24
Hodonín,Jihomoravský kraj,27,27,27,27,20,30
Vyškov,Jihomoravský kraj,12,12,12,12,10,9
Znojmo,Jihomoravský kraj,42,32,32,32,27,26
Karlovy Vary,Karlovarský kraj,8,10,10,10,11,7
Sokolov,Karlovarský kraj,3,3,3,3,3,3
Cheb,Karlovarský kraj,9,12,13,13,13,13
Jihlava,Kraj Vysočina,,,,,,
Havlíčkův Brod,Kraj Vysočina,,,,,,
Pelhřimov,Kraj Vysočina,,,,,,
Třebíč,Kraj Vysočina,,,,,,
Žďár nad Sázavou,Kraj Vysočina,,,,,,
Hradec Králové,Královéhradecký kraj,36,35,35,35,33,37
Jičín,Královéhradecký kraj,7,7,7,7,7,7
Náchod,Královéhradecký kraj,23,21,21,21,21,22
Rychnov nad Kněžnou,Královéhradecký kraj,18,16,16,16,16,20
Trutnov,Královéhradecký kraj,7,7,7,7,7,8
Česká Lípa,Liberecký kraj,,,,,,
Jablonec nad Nisou,Liberecký kraj,,,,,,
Liberec,Liberecký kraj,,,,,,
Semily,Liberecký kraj,,,,,,
Bruntál,Moravskoslezský kraj,,,,,,
Opava,Moravskoslezský kraj,,,,,,
Nový Jičín,Moravskoslezský kraj,,,,,,
Ostrava,Moravskoslezský kraj,,,,,,
Karviná,Moravskoslezský kraj,,,,,,
Frýdek-Místek,Moravskoslezský kraj,,,,,,
Olomouc,Olomoucký kraj,,,,,,
Prostějov,Olomoucký kraj,,,,,,
Přerov,Olomoucký kraj,,,,,,
Šumperk,Olomoucký kraj,,,,,,
Jeseník,Olomoucký kraj,,,,,,
Pardubice,Pardubický kraj,33,35,35,35,38,39
Chrudim,Pardubický kraj,13,14,14,14,12,16
Svitavy,Pardubický kraj,27,24,24,24,24,12
Ústí nad Orlicí,Pardubický kraj,52,44,44,44,28,28
Tachov,Plzeňský kraj,4,5,3,3,3,3
Plzeň-sever,Plzeňský kraj,9,9,6,6,6,9
Plzeň-město,Plzeňský kraj,38,39,39,39,51,58
Rokycany,Plzeňský kraj,5,5,4,4,4,4
Plzeň-jih,Plzeňský kraj,7,7,7,7,10,87
Domažlice,Plzeňský kraj,2,2,2,2,2,3
Klatovy,Plzeňský kraj,13,13,11,11,39,40
Praha,Praha,1048,881,867,914,935,903
Rakovník,Středočeský kraj,3,3,3,3,5,5
Kladno,Středočeský kraj,28,28,28,28,38,36
Mělník,Středočeský kraj,21,17,17,17,22,22
Mladá Boleslav,Středočeský kraj,29,34,34,34,32,36
Nymburk,Středočeský kraj,48,45,45,45,30,27
Kolín,Středočeský kraj,28,31,31,31,37,38
Kutná Hora,Středočeský kraj,15,15,15,15,18,19
Benešov,Středočeský kraj,21,20,20,20,23,25
Příbram,Středočeský kraj,13,22,22,22,27,32
Beroun,Středočeský kraj,26,21,21,21,20,21
Praha-západ,Středočeský kraj,70,63,63,63,68,68
Praha-východ,Středočeský kraj,71,71,71,71,94,81
Děčín,Ústecký kraj,3,3,3,3,3,3
Chomutov,Ústecký kraj,12,12,13,31,31,32
Most,Ústecký kraj,10,13,13,13,14,14
Litoměřice,Ústecký kraj,26,28,28,27,25,26
Louny,Ústecký kraj,7,7,8,13,13,13
Teplice,Ústecký kraj,6,5,5,5,4,4
Ústí nad Labem,Ústecký kraj,15,13,13,13,13,7
Kroměříž,Zlínský kraj,23,24,23,23,23,25
Uherské Hradiště,Zlínský kraj,38,45,43,40,41,35
Vsetín,Zlínský kraj,15,15,15,17,17,19
Zlín,Zlínský kraj,33,35,35,35,35,32
