Okres,Kraj,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11
České Budějovice,Jihočeský kraj,0,0,0,0,0,0
Český Krumlov,Jihočeský kraj,0,0,0,0,0,0
Jindřichův Hradec,Jihočeský kraj,0,0,0,0,0,0
Písek,Jihočeský kraj,0,0,0,0,0,0
Prachatice,Jihočeský kraj,5,5,5,5,5,15
Strakonice,Jihočeský kraj,1,1,1,1,1,1
Tábor,Jihočeský kraj,0,0,0,0,0,0
Brno-město,Jihomoravský kraj,5,5,5,5,5,5
Brno-venkov,Jihomoravský kraj,1,1,1,1,1,1
Blansko,Jihomoravský kraj,0,0,0,0,0,0
Břeclav,Jihomoravský kraj,16,16,16,16,16,16
Hodonín,Jihomoravský kraj,1,1,1,1,1,1
Vyškov,Jihomoravský kraj,0,0,0,0,0,0
Znojmo,Jihomoravský kraj,0,0,0,0,0,0
Karlovy Vary,Karlovarský kraj,3,3,3,3,3,3
Sokolov,Karlovarský kraj,0,0,0,0,0,0
Cheb,Karlovarský kraj,36,36,36,36,36,36
Jihlava,Kraj Vysočina,,,,,,
Havlíčkův Brod,Kraj Vysočina,,,,,,
Pelhřimov,Kraj Vysočina,,,,,,
Třebíč,Kraj Vysočina,,,,,,
Žďár nad Sázavou,Kraj Vysočina,,,,,,
Hradec Králové,Královéhradecký kraj,1,1,1,1,1,1
Jičín,Královéhradecký kraj,1,1,1,1,1,1
Náchod,Královéhradecký kraj,0,0,0,0,0,0
Rychnov nad Kněžnou,Královéhradecký kraj,1,1,1,1,1,1
Trutnov,Královéhradecký kraj,1,1,1,1,1,1
Česká Lípa,Liberecký kraj,,,,,,
Jablonec nad Nisou,Liberecký kraj,,,,,,
Liberec,Liberecký kraj,,,,,,
Semily,Liberecký kraj,,,,,,
Bruntál,Moravskoslezský kraj,,,,,,
Opava,Moravskoslezský kraj,,,,,,
Nový Jičín,Moravskoslezský kraj,,,,,,
Ostrava,Moravskoslezský kraj,,,,,,
Karviná,Moravskoslezský kraj,,,,,,
Frýdek-Místek,Moravskoslezský kraj,,,,,,
Olomouc,Olomoucký kraj,,,,,,
Prostějov,Olomoucký kraj,,,,,,
Přerov,Olomoucký kraj,,,,,,
Šumperk,Olomoucký kraj,,,,,,
Jeseník,Olomoucký kraj,,,,,,
Pardubice,Pardubický kraj,,,,,,
Chrudim,Pardubický kraj,,,,,,
Svitavy,Pardubický kraj,,,,,,
Ústí nad Orlicí,Pardubický kraj,,,,,,
Tachov,Plzeňský kraj,1,1,1,1,1,1
Plzeň-sever,Plzeňský kraj,0,0,0,0,0,0
Plzeň-město,Plzeňský kraj,1,1,1,1,1,1
Rokycany,Plzeňský kraj,0,0,0,0,0,0
Plzeň-jih,Plzeňský kraj,6,6,6,6,6,6
Domažlice,Plzeňský kraj,8,8,8,8,8,8
Klatovy,Plzeňský kraj,0,0,0,0,0,1
Praha,Praha,105,105,105,105,105,105
Rakovník,Středočeský kraj,0,0,0,0,0,0
Kladno,Středočeský kraj,6,6,6,6,6,6
Mělník,Středočeský kraj,2,2,2,2,2,2
Mladá Boleslav,Středočeský kraj,1,1,1,1,1,1
Nymburk,Středočeský kraj,2,2,2,2,2,2
Kolín,Středočeský kraj,1,1,1,1,1,1
Kutná Hora,Středočeský kraj,0,0,0,0,0,0
Benešov,Středočeský kraj,1,1,1,1,1,1
Příbram,Středočeský kraj,2,2,2,2,2,2
Beroun,Středočeský kraj,1,1,1,1,1,1
Praha-západ,Středočeský kraj,4,4,4,4,4,4
Praha-východ,Středočeský kraj,5,5,5,5,5,5
Děčín,Ústecký kraj,0,0,0,0,0,0
Chomutov,Ústecký kraj,1,1,1,1,1,1
Most,Ústecký kraj,5,5,5,5,5,5
Litoměřice,Ústecký kraj,10,10,10,10,10,10
Louny,Ústecký kraj,3,3,3,3,3,3
Teplice,Ústecký kraj,0,0,0,0,0,0
Ústí nad Labem,Ústecký kraj,0,0,0,0,0,0
Kroměříž,Zlínský kraj,0,0,0,0,0,0
Uherské Hradiště,Zlínský kraj,2,2,2,2,2,2
Vsetín,Zlínský kraj,0,0,0,0,0,0
Zlín,Zlínský kraj,2,2,2,2,2,2
