Okres,Kraj,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11
České Budějovice,Jihočeský kraj,47,47,47,47,49,49
Český Krumlov,Jihočeský kraj,23,23,23,23,23,23
Jindřichův Hradec,Jihočeský kraj,20,32,32,32,34,34
Písek,Jihočeský kraj,16,16,16,16,20,20
Prachatice,Jihočeský kraj,41,41,41,41,41,42
Strakonice,Jihočeský kraj,43,43,43,43,43,48
Tábor,Jihočeský kraj,25,27,27,27,28,38
Brno-město,Jihomoravský kraj,319,336,336,336,365,377
Brno-venkov,Jihomoravský kraj,87,89,89,89,90,94
Blansko,Jihomoravský kraj,41,41,41,41,41,41
Břeclav,Jihomoravský kraj,134,134,134,134,149,155
Hodonín,Jihomoravský kraj,23,26,26,26,37,37
Vyškov,Jihomoravský kraj,49,49,49,49,51,54
Znojmo,Jihomoravský kraj,92,102,102,102,106,109
Karlovy Vary,Karlovarský kraj,82,82,82,82,82,86
Sokolov,Karlovarský kraj,70,70,70,70,70,70
Cheb,Karlovarský kraj,281,281,281,281,281,281
Jihlava,Kraj Vysočina,,,,,,
Havlíčkův Brod,Kraj Vysočina,,,,,,
Pelhřimov,Kraj Vysočina,,,,,,
Třebíč,Kraj Vysočina,,,,,,
Žďár nad Sázavou,Kraj Vysočina,,,,,,
Hradec Králové,Královéhradecký kraj,87,90,90,90,97,98
Jičín,Královéhradecký kraj,32,32,32,32,33,33
Náchod,Královéhradecký kraj,71,74,74,74,75,76
Rychnov nad Kněžnou,Královéhradecký kraj,19,21,21,21,22,22
Trutnov,Královéhradecký kraj,32,32,32,32,32,32
Česká Lípa,Liberecký kraj,,,,,,
Jablonec nad Nisou,Liberecký kraj,,,,,,
Liberec,Liberecký kraj,,,,,,
Semily,Liberecký kraj,,,,,,
Bruntál,Moravskoslezský kraj,27,28,28,28,28,28
Opava,Moravskoslezský kraj,215,215,215,215,215,216
Nový Jičín,Moravskoslezský kraj,126,143,143,143,143,143
Ostrava,Moravskoslezský kraj,659,670,670,670,670,741
Karviná,Moravskoslezský kraj,1799,1799,1799,1799,1799,1829
Frýdek-Místek,Moravskoslezský kraj,523,525,525,525,525,525
Olomouc,Olomoucký kraj,679,681,681,681,681,684
Prostějov,Olomoucký kraj,81,81,81,81,81,98
Přerov,Olomoucký kraj,84,84,84,84,86,87
Šumperk,Olomoucký kraj,52,52,52,52,55,58
Jeseník,Olomoucký kraj,10,10,10,10,10,10
Pardubice,Pardubický kraj,,,,,,
Chrudim,Pardubický kraj,,,,,,
Svitavy,Pardubický kraj,,,,,,
Ústí nad Orlicí,Pardubický kraj,,,,,,
Tachov,Plzeňský kraj,52,52,53,53,53,53
Plzeň-sever,Plzeňský kraj,27,27,30,30,30,30
Plzeň-město,Plzeňský kraj,85,85,84,84,84,84
Rokycany,Plzeňský kraj,8,8,9,9,9,9
Plzeň-jih,Plzeňský kraj,49,49,49,49,49,49
Domažlice,Plzeňský kraj,348,348,348,348,348,348
Klatovy,Plzeňský kraj,93,93,95,95,95,95
Praha,Praha,2285,2493,2563,2563,2577,2655
Rakovník,Středočeský kraj,22,22,22,22,22,22
Kladno,Středočeský kraj,138,140,140,140,142,147
Mělník,Středočeský kraj,151,155,155,155,159,159
Mladá Boleslav,Středočeský kraj,58,59,59,59,68,68
Nymburk,Středočeský kraj,85,90,90,90,114,121
Kolín,Středočeský kraj,96,100,100,100,103,105
Kutná Hora,Středočeský kraj,87,89,89,89,89,89
Benešov,Středočeský kraj,100,100,100,100,105,106
Příbram,Středočeský kraj,54,54,54,54,54,54
Beroun,Středočeský kraj,108,115,115,115,120,120
Praha-západ,Středočeský kraj,265,272,272,272,275,279
Praha-východ,Středočeský kraj,291,295,295,295,295,315
Děčín,Ústecký kraj,56,56,56,56,56,56
Chomutov,Ústecký kraj,25,25,25,25,25,25
Most,Ústecký kraj,41,41,41,41,41,41
Litoměřice,Ústecký kraj,262,265,266,266,270,272
Louny,Ústecký kraj,28,28,28,28,28,28
Teplice,Ústecký kraj,69,70,70,70,71,72
Ústí nad Labem,Ústecký kraj,92,94,94,94,94,100
Kroměříž,Zlínský kraj,37,37,38,38,38,38
Uherské Hradiště,Zlínský kraj,172,173,179,183,183,189
Vsetín,Zlínský kraj,59,59,60,60,60,60
Zlín,Zlínský kraj,145,145,148,149,149,155
